Date,Age,Life Event,
7/1971,28,"After a meeting between the FBI and Detective Hodel, Alcala was added to the FBI’s Ten Most Wanted Fugitives List in an attempt to locate him three years after the attack on Victim 1.",
8/1971,28,"Two George Mills’ campers recognize their counselor, John Berger, on the FBI’s Ten Most Wanted Fugitives List while at the local post office. The camp director confirms the man listed as Rodney Alcala is his employee, John Berger, and calls the FBI.",
08/11/1971,28,"FBI agents arrive to the camp in George Mills, NH and arrest Alcala with the help of fingerprint evidence. Alcala was extradited back to Los Angeles, CA.",
8/1971-5/1972,28-29, "A plea agreement is reached between the prosecution and the defense in which Alcala pleaded guilty to child molestation of Victim 1.",
05/19/1972,29,"For the crime of child molestation on Victim 1, Alcala received an indeterminate sentencing—which allowed the judge to set a range of time instead of a specified time frame to be served—of one to ten years, with the option of parole.",
8/1974,31,"Alcala was determined, by a state prison psychiatrist, to have considerably improved during his time incarcerated and was released on parole in Los Angeles, CA under the stipulation that he register as a sex offender with the Monterey Park Police Department.",
8/1974-9/1974,31, "Hired by a photography company to take photos in stores throughout Los Angeles County.",
10/13/1974,31,"Kidnapped a 13-year old white, female in Huntington Beach, California and forced her to smoke marijuana with him before being arrested by a park ranger who smelled the marijuana and decided to investigate.",
Fall 1974,31,"Charged with selling marijuana, kidnapping Victim 2 (WF, 13), and violating parole, and was taken to jail to await his trial",
10/26/1974,31,"Convicted of violating parole and providing drugs to a minor, Victim 2, and was sent to prison.",
12/1974-6/1977,31-34,"Served sentence for charges against Victim 2 at the Southern California reception center for new California Department of Corrections inmates and parole violators in Chino, CA and at California’s Men’s Colony in San Luis Obispo, CA.",
06/16/1977,34,"Released on parole after being pronounced “re-reformed” due to the self-improvement programs completed while in prison, under the condition that he report to a parole officer weekly.",
Summer 1977,34,"Parole officer approved request made by Alcala, allowing him to travel to New York to visit relatives.",
07/16/1977,34,"Ellen Jane Hover (WF, 23) is considered a missing person after last being seen with a photographer named John Berger in New York City, NY.",
9/1977,34, "Alcala returned to Los Angeles from New York and was hired as a typesetter at the Los Angeles Times.",
11/10/1977,34,"The body of Jill Barcomb, 18-year old white female, was found in the Hollywood Hills area of West Los Angeles, California. She had been sexually assaulted, bludgeoned and strangled with a pair of blue pants.",
12/14/1977,34,"After receiving a call from the FBI pertaining to the disappearance of Ellen Hoover and the man she was last seen with, John Berger, the LAPD determined John Berger was an alias used by Rodney Alcala and brought him in for questioning. However, without a body or any evidence directly linking Alcala and However, he was released from custody.",
12/16/1977,34,"The body of Georgia Witxed, 27-year old white female, was found in her apartment in Malibu after she did not pick up a co-worker, as she routinely did. She had been sexually assaulted and strangled.",
3/1978,35, "Spent a brief period of time in jail when marijuana was found in his home while being interviewed by the Hillside Strangler Task Force due to his classification as a sex offender.",
06/24/1978,35,"The body of an unidentified white female, Jane Doe, was found in the laundry room of the Illinois Court apartment complex in El Segundo, CA.",
06/28/1978,35,"Richard Plasse, a homicide police officer for Santa Monica, CA, received a call reporting a missing woman, Charlotte Lamb.",
6/1978,35,"The remains of Ellen Hoover were found in North Tarrytown in Westchester County, New York after the NYPD Missing Person Squad interviewed people who knew Alcala and determined he often took women to that area to take photographs of them",
9/1978,35,"The body of the Jane Doe found in El Segundo, CA was identified as the missing woman, Charlotte Lamb.",
09/13/1978,35,"Alcala appeared on The Dating Game show as Bachelor number one and was chosen by the woman contestant, Cheryl Bradshaw, to go on a date.",
02/13/1979,36, "Alcala offered a ride to a 15-year old white female who was hitchhiking and persuaded her by asking to take pictures of her for a contest.",
02/14/1979,36,"After spending the night together, Alcala drove Victim 3 (WF, 15) to a secluded area, took naked photos of her, then raped her. Victim 3 gained trust from Alcala by being as friendly as possible and then escaped when he went into a gas station bathroom",
02/14/1979,36,"After being immediately identified by Victim 3 in a photographic lineup, Alcala was arrested and admitted to choking and raping the young woman.",
4/1979,36, "Alcala gave his two weeks’ notice to the Los Angeles Times.",
05/12/1979,36, "Last day of work at the Los Angeles Times.",
6/1979,36,"Photographs 17 year old Monterrey Park neighbor, Linda L., whose pictures are in his 2010 photo release, and shows her pictures of naked women and children. Claims to be a member of Mensa",
06/14/1979,36,"The body of Jill Parenteau, 21-year old white female, was found in her apartment in Burbank located in Los Angeles, CA.",
06/20/1979,36,"12 year old Robin Samsoe, white female, and her friend were approached by a curly-haired man asking to take their photographs.",
06/20/1979,36,"Dana Crappa, a 20-year old firefighter, saw a strange dark haired man dragging a young blond female into the woods while she was driving to work, yet decided to keep her observation to herself.",
06/20/1979,36,"At 11:05 p.m., a nationwide broadcast on the missing 12-year old, Robin, was released asking for any information on her whereabouts.",
06/21/1979,36,"Forensic artist, Marilyn Droz, composed a sketch of the man last seen with Robin based off of Robin’s friends description of him.",
06/21/1979,36, "Alcala changed the carpet in his car; claiming he spilled gasoline on it.",
06/22/1979,36,"The composite developed between Marilyn Droz and Robin’s friend of the man last seen with Robin was shown on the 5 p.m. news broadcast, showing a young man with dark, curly hair.",
06/24/1979,36, "Alcala chemically straightened his naturally curly hair.",
06/25/1979,36,"Dana Crappa returns to site where she saw the man dragging a young girl into the woods and finds human remains, she once again keeps this observation to herself.",
06/26/1979,36,"Once his curls start to grow back, Alcala decides to cut his hair short.",
06/26/1979,36,"After receiving several convincing tips about a man who raped and attempted to murder an 8-year old girl, Detective Craig Robinson furthers his research on Rodney Alcala as a possible suspect in the Samsoe case and decides to drive to Riverside, CA to obtain his mug shot.",
06/26/1979,36,"After comparing Alcala’s mug shot and the composite sketch developed by Marilyn Droz, Detective Robinson officially announces Alcala as a person of interest in the case of missing Robin Samsoe.",
06/27/1979,36,"After coincidentally watching Alcala’s episode of The Dating Game the night before, Detective Art Droz, Marilyn Droz’s husband, sends someone to pick up a copy of Alcala’s episode from Chuck Barris Productions.",
6/1979,36,"Detectives investigating the disappearance of Robin Samsoe, compiled six photos of similar looking men and showed them to people who claimed to have seen Robin Samsoe at the beach the day she disappeared. All of the witnesses shown the lineup identified Alcala as the man seen with Samsoe.",
06/28/1979,36, "Detectives were sent to Alcala’s address to look for vehicles used during the kidnapping being investigated; brief observations were made of Alcala in a blue station wagon before he made a U-turn abruptly and lost the detectives.",
06/291979,36,"Dana Crappa returns to site where she discovered human remains once again, after working in the same area earlier that day with a fellow fireman, William Poepke, where she became visibly upset when Poepke jokingly threw what he thought was a deer bone at her. Crappa returned to the site to confirm her hunch that the bones found were those of a human and not an animal, she was correct, and once again did not share her findings with anyone.",
07/02/1979,36,"William Poepke discovers human remains while reworking the area him and Crappa had been at three days earlier and immediately understands Crappa’s odd reaction to his prank. Unlike his coworker, Poepke reports his findings of the dead body to the authorities.",
07/06/1979,36, "Autopsy on remains found by Poepke determined they were of a young girl around 12 years of age; dental records confirmed they were the remains of Robin Samsoe.",
07/08/1979,36,"Alcala tells current girlfriend, Elizabeth Kelleher, he wants to move to Dallas to broaden his career opportunities",
07/11/1979,36,"Alcala rents a storage unit from Cecil Lockrem and her husband, who own the storage facility in Seattle, Washington.",
07/12/1979,36,"Alcala returns to Los Angeles to see Kelleher and informs her he will be moving to Texas permanently only July 24, 1979, yet does not mention his trip to Seattle to her or anyone else.",
07/241979,36,"Based on the strong evidence against Alcala, Sergeant Ron Jenkins, Detective Robinson, and other members of the Huntington Beach Police Department arrived at Alcala’s house with a warrant allowing them to search his car and house, as well as obtain certain evidence they believed would connect him to the murder of Robin Samsoe.",
07/14/1979,36,"After obtaining necessary evidence from their search of Alcala’s home, Alcala was booked on suspicion of the murder of Robin Samsoe at the Huntington Beach jail and had a bail set at $250,000.",
07/25/1979,36,"After being informed of a suspicious phone conversation between Alcala and his sister, Maria Christine (Krissy) De La Cerda, Sergeant Ed McErlain of the HBPD drove to De La Cerda’s home where she and her mother provided alibi’s for Alcala on multiple occasions where he was witnessed to be somewhere else.",
07/25/1979,36,"Several HBPD detectives returned to Alcala’s mothers home to search for the storage unit receipt that was seen on the day of Alcala’s arrest, however they were not able to find it.",
07/26/1979,36,"Sergeant McErlain and Detective Robinson obtained a warrant for the storage locker rented by Alcala in Seattle, WA and flew there to search the unit. After a three hour search, the officers collected several pieces of evidence, including over 1,700 photos and negatives in boxes, one of which was labeled 'Ode to New York by John Berger.'",
07/28/1979,36,"The arraignment was held for People of the State of California, Plaintiff vs. Rodney James Alcala, Defendant at the Municipal Court in the West Judicial District of Orange County, California.",
07/28/1979,36,"Alcala pled innocent to the charges of kidnapping, lewd or lascivious act upon a child under fourteen, murder, and robbery that were filed against him by M. Evans, Deputy District Attorney. Alcala was held without bail.",
08/24/1979,36,"Alcala’s deputy public defender, Chris Strople, was forced to step down due to a conflict of interest. John Barnett was appointed as Alcala’s new public defender.",
9/1979,36, "Preliminary hearings on the Samsoe case began.",
10/04/1979,36, "Was ordered by judge John Wyatt to stand trial on kidnapping and murder charges.",
10/1979,36,"Alcala was also supposed to appear in court for the attack on Victim 3 in Riverside, CA. However, Victim 3 was determined unfit to testify against Alcala and required to undergo psychiatric evaluation.",
02/15/1980,37, "It was determined by the judge that Alcala’s previous offenses related to abductions and sexual attacks would be allowed into evidence.",
03/06/1980,37, "Opening day of statements in People of the State of California vs. Rodney James Alcala.",
03/19/1980,37,"Dana Crappa, considered to be the prosecutions key witness, testified that she saw Alcala forcefully steering a blonde girl into the woods in June 20, 1979 and that she saw him again the following evening, June 21, 1979, at the same location as the previous night. She also claimed to have returned to the same site on June 25, 1979 which was when she first saw the body. While on the witness stand, she confirmed that Rodney Alcala was the man she saw on June 20 and June 21.",
03/19/1980,37, "Barnett cross-examined Crappa by focusing on her decision to keep all the events she witnessed to herself and why she would not report them to the police.",
03/20/1980,37,"Inmate Robert J. Dove testified that he heard Alcala tell another Orange County Jail inmate, Michael Herrera, discuss the death of Robin Samsoe.",
03/20/1980,37, "Inmate Michael Herrera testified by elaborating on his conversation with Alcala discussing the details of Samsoe’s kidnapping and death.",
4/1980,37, "The State rested its case.",
4/1980,37,"The defense asked for a dismissal of the kidnapping charge because there seemed to be no physical proof that a kidnapping occurred. According to the California death penalty law, if kidnapping and murder occurred together, the defendant may be eligible to be sentenced to death. Due to this special circumstance law and his belief that the prosecution did not provided sufficient evidence for the charge, the judge approved the defenses request for the dismissal of performing a lewd or lascivious act on a child under fourteen.",
04/08/1980,37, "The defense began their arguments by focusing on alibi witnesses.",
04/09/1980,37,"Alcala’s sisters, Christine De La Cerda and Marie Toriano, and his girlfriend, Elizabeth Kelleher, were among three of the defense alibi witnesses, claiming Alcala could not have been involved in the death of Samsoe. They all were considered to be biased witnesses.",
04/09/1980,37, "Defense called inmate Joseph Drake who testified that the prosecutions inmate witnesses Dove and Herrera collaborated with him to lie about the conversations with Alcala about the Samsoe case in order to strike and informer’s bargain with police officers.",
04/23/1980,37,"After calling a few other witnesses and further trying to discredit Crappa’s testimony, the defense rested their case.",
04/28/1980,37, "Final arguments began.",
04/29/1980,37, "First day of jury deliberations. They requested to have some of Crappa’s testimony read back to them and were unable to reach a verdict by the end of the day.",
04/30/1980,37, "Jury reached a verdict on their second day of deliberations.",
04/30/1980,37,"On the charges of first degree murder with the use of a deadly weapon and forced kidnapping, the jury found Alcala guilty.",
05/07/1980,37, "The penalty phase of the trial ended. Jurors reached a verdict of death after only about 4 hours of deliberation.",
06/20/1980,37, "Orange County Superior Court Judge Philip E. Schwab sentences Alcala to death after he is convicted of Samsoe's murder. He claimed he agreed with the punishment of death and that it would take place by gas chamber. Alcala would remain in San Quentin prison awaiting an appeal to the Supreme",
07/11/1980,37,"The Los Angeles County district attorney’s office charged Alcala with burglary and the murder and sexual assault of Jill Parenteau that had occurred on June 14, 1979.",
9/1980,37, "Alcala is convicted of the 1978 rape of a 15-year-old Riverside girl and sentenced to nine years in state prison.",
Fall 1980,37,"After a short trial, Alcala was found guilty of the rape of Victim 3.",
Fall 1980,37,"After a brief deliberation, Alcala was sentenced to 9 years for the attack on Victim 3.",
2/1981,38,"Alcala’s appointed appeals attorney, Keith Monroe, filed an appeal on Alcala’s death penalty conviction.",
04/10/1981,38,"Alcala’s approved appeal hearing began due to the possibility that the prosecutions inmate witnesses, Dove and Herrera, may have falsely testified. The Supreme Court approved the appeal because if the testimonies made by Dove and Herrera were indeed false, then there was no other evidence proving Alcala kidnapped Samsoe, which would impact his sentencing of death.",
April 1981,38, "The murder case of Jill Parenteau was dismissed due to the discrediting of the only witness linking Alcala and Parenteau.",
05/28/1981,38,"Judge Schwab, after rehearing the prosecutions inmate witnesses, he determined that Dove’s testimony was truthful and therefore the special circumstances of kidnapping were legitimate and Alcala was returned to death row.",
08/23/1981,38, "The Supreme Court of California reversed Alcala’s death penalty sentence.",
04/23/1981,38,"Alcala’s second trial for the murder of 12-year old Robin Samsoe began. The state Supreme Court reversed Alcala's murder conviction in connection with Samsoe, ruling that the jury was improperly told about Alcala's prior sex crimes.",
05/25/1986,43, "The trial ended and the jury began their deliberations.",
05/28/1986,43,"The jury reached their verdict finding Alcala guilty of the murder, false imprisonment—using a deadly weapon, and kidnapping of Robin Samsoe.",
06/09/1986,43, "Alcala presented the judge with a request for his case to be dismissed because he felt his attorneys were not prepared or willing enough to provide him with a fair trial; Judge Schwab denied this request.",
6/1986,43, "Victim 1 and Victim 3 testified for the prosecution recounting the attacks on them by Alcala.",
06/19/1986,43, "The jury began their deliberation on life in prison or the death penalty for Alcala.",
06/20/1986,43,"For the second time, Alcala is convicted for Samsoe's murder and sentenced to death in Orange County Superior Court.",
08/20/1986,43, "Formal sentencing began allowing the judge to agree with or reverse the jury’s verdict. The judge agreed with the jury and formally sentenced Alcala to death for the murder and kidnapping of Robin Samsoe.",
12/21/1992,49,The California Supreme Court unanimously upholds Alcala's death sentence,The California Supreme Court unanimously upholds Alcala's death sentence
04/02/2001,58,"A federal appellate court overturns Alcala's death sentence in the Samsoe case, ruling that the Superior Court judge precluded the defense from presenting evidence 'material to significant issues.'",
06/05/2003,60, "The Los Angeles County district attorney's office files murder charges against Alcala alleging that he killed Wixted during a burglary and rape.",
09/19/2005,62,"Additional murder charges are filed against Alcala in connection to the deaths of Barcomb, Wixted and Lamb.",
01/11/2010,66, "Alcala's trial for the five murders begins. He represents himself.",
2011,68, "Indicted for the murders of Ellen Hover and Cornelia Crilley",
12/14/2012,69, "Plead guilty to the New York murders of Ellen Hover and Cornelia Crilley."
